county_id,county_name,area
2182,Söderhamn,1060.85
2183,Bollnäs,1814.04
2184,Hudiksvall,2489.05
2260,Ånge,3050.26
2262,Timrå,783.26
2280,Härnösand,1058.32
2281,Sundsvall,3189.71
2282,Kramfors,1694.65
2283,Sollefteå,5396.48
2284,Örnsköldsvik,6376.05
2303,Ragunda,2510.96
2305,Bräcke,3408.09
2309,Krokom,6154.45
2313,Strömsund,10464.65
2321,Åre,7194.95
2326,Berg,5710.18
2361,Härjedalen,11283.83
2380,Östersund,2208.29
2401,Nordmaling,1229.59
2403,Bjurholm,1306.77
2404,Vindeln,2630.05
2409,Robertsfors,1292.32
2417,Norsjö,1739.15
2418,Malå,1598.21
2421,Storuman,7299.64
2422,Sorsele,7367.04
2425,Dorotea,2764.53
2460,Vännäs,529.49
2462,Vilhelmina,8048.43
2463,Åsele,4223.52
2480,UmeÅ,2317.12
2481,Lycksele,5518.18
2482,Skellefteå,6800.56
2505,Arvidsjaur,5655.59
2506,Arjeplog,12557.59
2510,Jokkmokk,17600.76
2513,Överkalix,2764.52
2514,Kalix,1803.08
2518,Övertorneå,2362.30
2521,Pajala,7840.30
2523,Gällivare,15690.78
2560,Älvsbyn,1699.24
2580,Luleå,2094.08
2581,Piteä,3086.04
2582,Boden,4007.89
2583,Haparanda,921.27
2584,Kiruna,19155.37
