county_id,county_name,population_per_sq_km
1415,Stenungsund,102.5
1419,Tjörn,93.1
1421,Orust,39.1
1427,Sotenäs,65.6
1430,Munkedal,16.3
1435,Tanum,13.7
1438,Dals-Ed,6.6
1439,Färgelanda,11.3
1440,Ale,93.2
1441,Lerum,157.4
1442,Vårgårda,26.5
1443,Bollebygd,34.6
1444,Grästorp,21.6
1445,Essunga,24.0
1446,Karlsborg,17.0
1447,Gullspång,16.8
1452,Tranemo,15.9
1460,Bengtsfors,11.3
1461,Mellerud,18.1
1462,Lilla Edet,43.5
1463,Mark,36.8
1465,Svenljunga,11.6
1466,Herrljunga,19.1
1470,Vara,22.7
1471,Götene,32.8
1472,Tibro,50.4
1473,Töreboda,17.4
1480,Göteborg,1242.8
1481,Mölndal,442.0
1482,Kungälv,119.4
1484,Lysekil,69.9
1485,Uddevalla,86.5
1486,strömstad,28.0
1487,Vänersborg,60.6
1488,Trollhättan,140.9
1489,Alingsås,84.8
1490,Borås,120.8
1491,Ulricehamn,22.8
1492,Åmål,26.6
1493,Mariestad,40.2
1494,Lidköping,56.2
1495,Skara,44.3
1496,Skövde,80.4
1497,Hjo,30.5
1498,Tidaholm,24.7
1499,Falköping,31.4
1715,Kil,32.8
1730,Eda,10.4
1737,Torsby,2.9
1760,Storfors,10.3
1761,Hammarö,264.5
1762,Munkfors,26.4
1763,Forshaga,32.9
1764,Grums,23.5
1765,Årjäng,7.1
1766,Sunne,10.4
1780,Karlstad,77.2
1781,Kristinehamn,32.7
1782,Filipstad,7.1
1783,Hagfors,6.5
1784,Arvika,15.8
1785,Säffle,12.8
1814,Lekeberg,16.5
1860,Laxå,9.5
1861,Hallsberg,24.6
1862,Degerfors,25.0
1863,Hällefors,7.2
1864,Ljusnarsberg,8.7
1880,Örebro,106.8
1881,Kumla,104.5
1882,Askersund,13.8
1883,Karlskoga,65.2
1884,Nora,17.2
1885,Lindesberg,17.2
1904,Skinnskatteberg,6.7
1907,Surahammar,29.2
1960,Kungsör,41.6
1961,Hallstahammar,93.5
1962,Norberg,13.9
1980,Västerås,153.7
1981,Sala,19.2
1982,Fagersta,50.0
1983,köping,42.9
1984,Arboga,42.7
2021,Vansbro,4.5
2023,Malung-Sälen,2.5
2026,Gagnef,13.3
2029,Leksand,12.7
2031,Rättvik,5.7
2034,Orsa,4.0
2039,Älvdalen,1.0
2061,Smedjebacken,11.5
2062,Mora,7.2
2080,Falun,28.3
2081,Borlänge,88.4
2082,Säter,19.4
2083,Hedemora,18.5
2084,Avesta,37.8
2085,Ludvika,18.1
2101,Ockelbo,5.5
2104,Hofors,23.3
2121,Ovanåker,6.2
2132,Nordanstig,6.9
2161,Ljusdal,3.6
2180,Gävle,61.8
2181,Sandviken,33.4
2182,söderhamn,24.5
2183,Bollnäs,14.8
2184,Hudiksvall,15.0
2260,Ånge,3.1
2262,Timrå,23.0
2280,Härnösand,23.9
2281,Sundsvall,30.8
2282,Kramfors,11.0
2283,Sollefteå,3.7
2284,Örnsköldsvik,8.8
2303,Ragunda,2.2
2305,Bräcke,1.9
2309,Krokom,2.4
2313,strömsund,1.1
2321,Åre,1.5
2326,Berg,1.2
2361,Härjedalen,0.9
2380,Östersund,28.0
2401,Nordmaling,5.8
2403,Bjurholm,1.9
2404,Vindeln,2.1
2409,Robertsfors,5.2
2417,Norsjö,2.4
2418,Malå,1.9
2421,Storuman,0.8
2422,Sorsele,0.3
2425,Dorotea,1.0
2460,Vännäs,16.4
2462,Vilhelmina,0.8
2463,Åsele,0.7
2480,Umeå,53.0
2481,Lycksele,2.2
2482,Skellefteå,10.6
2505,Arvidsjaur,1.1
2506,Arjeplog,0.2
2510,Jokkmokk,0.3
2513,Överkalix,1.2
2514,Kalix,9.0
2518,Övertorneå,1.9
2521,Pajala,0.8
2523,Gällivare,1.1
2560,Älvsbyn,4.8
2580,Luleå,36.7
2581,Piteå,13.6
2582,Boden,7.0
2583,Haparanda,10.7
2584,Kiruna,1.2
