county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
1284,Höganäs                                           ,26 055,208,155,224,-69,1 280,735,310,235,1 005,650,280,75,275,85,30,160
1266,Hörby                                             ,15 481,198,152,119,33,891,634,146,111,735,561,125,49,156,73,21,62
1267,Höör                                              ,16 423,231,137,109,28,980,763,125,92,781,611,135,35,199,152,-10,57
1276,Klippan                                           ,17 364,145,123,141,-18,1 007,585,197,225,844,599,183,62,163,-14,14,163
1290,Kristianstad                                      ,83 975,784,739,609,130,3 267,1 548,1 008,711,2 608,1 405,990,213,659,143,18,498
1261,Kävlinge                                          ,30 755,223,260,171,89,1 291,972,159,160,1 154,892,195,67,137,80,-36,93
1282,Landskrona                                        ,45 161,550,474,330,144,2 407,1 314,445,648,2 011,1 340,411,260,396,-26,34,388
1262,Lomma                                             ,24 205,318,165,135,30,1 220,835,206,179,931,670,180,81,289,165,26,98
1281,Lund                                              ,121 014,2 472,881,569,312,9 791,4 106,3 417,2 268,7 631,3 787,2 964,880,2 160,319,453,1 388
1280,Malmö                                             ,332 534,4 040,3 815,1 999,1 816,17 890,7 061,4 891,5 938,15 706,8 613,4 358,2 735,2 184,-1 552,533,3 203
1273,Osby                                              ,13 131,-18,109,113,-4,630,242,261,127,647,315,297,35,-17,-73,-36,92
1275,Perstorp                                          ,7 375,37,64,55,9,591,282,141,168,569,419,126,24,22,-137,15,144
1291,Simrishamn                                        ,19 387,-98,125,224,-99,1 076,509,308,259,1 077,728,324,25,-1,-219,-16,234
1265,Sjöbo                                             ,18 973,231,144,167,-23,1 035,733,177,125,783,594,133,56,252,139,44,69
1264,Skurup                                            ,15 553,145,128,97,31,865,617,147,101,753,562,136,55,112,55,11,46
1230,Staffanstorp                                      ,24 112,512,189,103,86,1 395,1 095,131,169,971,774,126,71,424,321,5,98
1214,Svalöv                                            ,14 000,81,104,87,17,1 023,665,173,185,959,721,178,60,64,-56,-5,125
1263,Svedala                                           ,21 022,251,138,120,18,1 117,869,119,129,884,722,121,41,233,147,-2,88
1270,Tomelilla                                         ,13 367,37,99,114,-15,654,409,149,96,605,450,129,26,49,-41,20,70
1287,Trelleborg                                        ,44 521,608,372,343,29,2 078,1 343,366,369,1 497,1 054,342,101,581,289,24,268
1233,Vellinge                                          ,35 550,293,224,228,-4,1 608,1 137,278,193,1 310,934,239,137,298,203,39,56
1286,Ystad                                             ,29 696,248,202,232,-30,1 500,927,333,240,1 224,847,303,74,276,80,30,166
1277,Åstorp                                            ,15 749,221,127,90,37,1 184,763,186,235,1 001,844,120,37,183,-81,66,198
1292,Ängelholm                                         ,41 801,465,351,328,23,1 967,1 067,459,441,1 526,949,455,122,441,118,4,319
1257,Örkelljunga                                       ,10 009,51,75,90,-15,629,305,172,152,565,374,156,35,64,-69,16,117
1256,Östra Göinge                                      ,14 653,247,126,104,22,1 095,572,232,291,869,618,216,35,226,-46,16,256
1382,Falkenberg                                        ,44 121,254,361,339,22,1 759,468,915,376,1 562,509,968,85,197,-41,-53,291
1380,Halmstad                                          ,99 443,905,891,703,188,4 196,795,2 403,998,3 526,793,2 527,206,670,2,-124,792
1315,Hylte                                             ,10 988,34,106,77,29,667,194,260,213,683,304,362,17,-16,-110,-102,196
1384,Kungsbacka                                        ,81 590,1 148,587,457,130,3 446,263,2 808,375,2 435,313,1 934,188,1 011,-50,874,187
1381,Laholm                                            ,24 997,333,203,196,7,1 212,395,590,227,892,267,578,47,320,128,12,180
1383,Varberg                                           ,62 590,722,545,454,91,2 208,464,1 439,305,1 591,393,1 111,87,617,71,328,218
1440,Ale                                               ,29 979,430,266,191,75,1 610,1 306,171,133,1 257,1 011,203,43,353,295,-32,90
1489,Alingsås                                          ,40 279,234,332,304,28,1 433,919,337,177,1 246,870,304,72,187,49,33,105
1460,Bengtsfors                                        ,9 947,7,64,101,-37,575,219,179,177,536,310,188,38,39,-91,-9,139
1443,Bollebygd                                         ,9 234,132,66,60,6,489,403,51,35,363,281,73,9,126,122,-22,26
1490,Borås                                             ,110 663,783,977,780,197,4 078,1 882,1 264,932,3 535,1 875,1 357,303,543,7,-93,629
1438,Dals-Ed                                           ,4 756,-21,28,32,-4,207,135,20,52,225,122,59,44,-18,13,-39,8
